date,volume
2021-05-19,30405113.0
2021-05-20,12656602.0
2021-05-21,12659514.0
2021-05-24,12215382.0
2021-05-25,8603857.0
2021-05-26,6660825.0
2021-05-27,5796491.0
2021-05-28,9922061.0
2021-06-01,8572953.0
2021-06-02,6221208.0
2021-06-03,6900421.0
2021-06-04,6934881.0
2021-06-07,8100536.0
2021-06-08,17671184.0
2021-06-09,12190038.0
2021-06-10,7963882.0
2021-06-11,4662449.0
2021-06-14,9768310.0
2021-06-15,7373629.0
2021-06-16,7650702.0
2021-06-17,7653610.0
2021-06-18,7784832.0
2021-06-21,12111370.0
2021-06-22,23329259.0
2021-06-23,8760881.0
2021-06-24,8025687.0
2021-06-25,9151534.0
2021-06-28,8513985.0
2021-06-29,7677534.0
2021-06-30,6652490.0
2021-07-01,6850339.0
2021-07-02,6347116.0
2021-07-06,6353218.0
2021-07-07,6243135.0
2021-07-08,7177773.0
2021-07-09,3680677.0
2021-07-12,4153409.0
2021-07-13,5001283.0
2021-07-14,5717452.0
2021-07-15,8356042.0
2021-07-16,4391365.0
2021-07-19,6995966.0
2021-07-20,7708193.0
2021-07-21,7856724.0
2021-07-22,6419993.0
2021-07-23,4929620.0
2021-07-26,16681817.0
2021-07-27,9757904.0
2021-07-28,10203316.0
2021-07-29,6873968.0
2021-07-30,6873968.0
2021-08-02,5495529.0
2021-08-03,5923613.0
2021-08-04,5516014.0
2021-08-05,6013261.0
2021-08-06,7089656.0
2021-08-09,8201068.0
2021-08-10,6035073.0
2021-08-11,5567988.0
2021-08-12,4671238.0
2021-08-13,4187310.0
2021-08-16,4187310.0
2021-08-17,4994321.0
2021-08-18,4888649.0
2021-08-19,6477858.0
2021-08-20,7337685.0
2021-08-23,6347767.0
2021-08-24,5292419.0
2021-08-25,4657091.0
2021-08-26,4233185.0
2021-08-27,4604576.0
2021-08-30,3079201.0
2021-08-31,3717058.0
2021-09-01,5947376.0
2021-09-02,6551281.0
2021-09-03,5406321.0
2021-09-07,12766094.0
2021-09-08,4659330.0
2021-09-09,3544792.0
2021-09-10,4898769.0
2021-09-13,5569526.0
2021-09-14,3859728.0
2021-09-15,4443162.0
2021-09-16,3353170.0
2021-09-17,2509556.0
2021-09-20,8659362.0
2021-09-21,5509559.0
2021-09-22,5534405.0
2021-09-23,3663621.0
2021-09-24,6720312.0
2021-09-27,3662098.0
2021-09-28,4878085.0
2021-09-29,3414409.0
2021-09-30,5149021.0
2021-10-01,8586921.0
2021-10-04,8723254.0
2021-10-05,7114294.0
2021-10-06,9767567.0
2021-10-07,6740861.0
2021-10-08,4901141.0
2021-10-11,7734371.0
2021-10-12,7658618.0
2021-10-13,7358364.0
2021-10-14,7368296.0
2021-10-15,11637516.0
2021-10-18,10137967.0
2021-10-19,15346352.0
2021-10-20,13664907.0
2021-10-21,11433667.0
2021-10-22,9146561.0
2021-10-25,7487544.0
2021-10-26,5925422.0
2021-10-27,8352160.0
2021-10-28,5163596.0
2021-10-29,4692051.0
2021-11-01,4110040.0
2021-11-02,7159560.0
2021-11-03,7164219.0
2021-11-04,4061514.0
2021-11-05,3083160.0
2021-11-08,7786084.0
2021-11-09,6752003.0
2021-11-10,6752003.0
2021-11-11,6226059.0
2021-11-12,6303770.0
2021-11-15,3811569.0
2021-11-16,8735694.0
2021-11-17,4746090.0
2021-11-18,7984700.0
2021-11-19,5051990.0
2021-11-22,4457187.0
2021-11-23,3649227.0
