start_time,close,high,low,open,volume
02/08/2020,11071.35,12123.46,10518.5,11801.17,97553.077604
03/08/2020,11219.81,11473.0,10936.0,11071.36,56931.841475
04/08/2020,11191.97,11414.98,11000.0,11219.68,58629.113709
05/08/2020,11744.91,11780.93,11093.0,11191.99,74970.256852
06/08/2020,11762.46,11900.0,11562.5,11744.91,63529.08502
07/08/2020,11594.23,11909.94,11322.0,11762.47,65755.926022
08/08/2020,11761.41,11808.27,11512.0,11594.36,41858.16104
09/08/2020,11681.68,11797.11,11521.97,11761.02,41493.067342
10/08/2020,11892.92,12067.35,11450.0,11681.69,84952.337887
11/08/2020,11392.08,11935.0,11125.0,11892.9,90748.284634
12/08/2020,11564.33,11617.52,11150.0,11392.09,64909.613644
13/08/2020,11780.0,11792.96,11270.36,11564.34,70132.491502
14/08/2020,11760.54,11850.0,11634.03,11779.77,59818.852697
15/08/2020,11852.4,11980.0,11680.0,11760.55,56237.90505
16/08/2020,11911.0,11931.72,11686.0,11852.4,41368.236906
17/08/2020,12281.13,12468.0,11769.78,11910.99,84734.21154
18/08/2020,11945.01,12387.77,11817.93,12281.15,75923.835527
19/08/2020,11754.59,12020.08,11561.0,11945.1,73940.169606
20/08/2020,11853.55,11888.0,11668.0,11754.38,46085.254351
21/08/2020,11531.34,11878.0,11485.81,11853.54,64448.306142
22/08/2020,11662.96,11686.0,11376.81,11531.23,43678.701646
23/08/2020,11648.13,11718.07,11514.13,11663.51,37900.00469
24/08/2020,11748.2,11824.9,11585.09,11648.12,46212.391867
25/08/2020,11318.42,11767.85,11117.64,11748.19,69590.923272
26/08/2020,11461.43,11539.32,11244.0,11318.42,53998.231231
27/08/2020,11330.38,11592.2,11125.0,11461.42,63246.036383
28/08/2020,11526.91,11542.65,11276.89,11330.38,45953.908365
29/08/2020,11465.84,11580.02,11417.04,11526.9,32973.7992
30/08/2020,11711.16,11719.0,11458.0,11465.84,43177.879054
31/08/2020,11649.51,11800.77,11570.0,11711.17,55353.617744
01/09/2020,11921.97,12050.85,11515.0,11649.51,78148.193668
02/09/2020,11388.54,11954.57,11160.1,11921.97,87221.845602
03/09/2020,10140.85,11462.6,9960.8,11388.54,121950.106015
04/09/2020,10446.25,10627.05,9875.5,10138.29,92733.599113
05/09/2020,10166.69,10565.68,9825.0,10446.25,90001.605568
06/09/2020,10256.2,10347.14,9994.86,10166.69,56368.788815
07/09/2020,10373.44,10410.75,9875.0,10255.89,62620.230676
08/09/2020,10126.65,10438.0,9850.0,10373.45,73491.878418
09/09/2020,10219.2,10343.0,9981.01,10126.66,49347.113776
10/09/2020,10336.87,10483.35,10070.83,10219.29,58253.75375
11/09/2020,10387.89,10397.6,10200.0,10336.86,43830.254467
12/09/2020,10440.92,10477.97,10269.25,10387.89,35379.153096
13/09/2020,10332.83,10580.11,10200.0,10440.67,43837.609865
14/09/2020,10671.77,10750.0,10212.34,10332.84,67059.291361
15/09/2020,10785.31,10930.04,10606.48,10671.77,61822.452786
16/09/2020,10954.01,11093.0,10661.22,10785.23,64991.51244
17/09/2020,10939.99,11045.46,10745.83,10954.01,55601.614529
18/09/2020,10933.39,11038.03,10812.84,10940.0,47266.728275
19/09/2020,11080.65,11179.79,10887.37,10933.4,38440.036858
20/09/2020,10920.28,11080.64,10723.0,11080.64,39157.922565
21/09/2020,10417.22,10988.86,10296.35,10920.28,70683.431179
22/09/2020,10529.61,10572.71,10353.0,10417.22,43991.235476
23/09/2020,10241.46,10537.15,10136.82,10529.61,51876.568079
24/09/2020,10736.32,10795.24,10190.93,10241.46,57676.619427
25/09/2020,10686.67,10760.53,10556.24,10736.33,48101.117008
26/09/2020,10728.6,10820.94,10644.68,10686.57,28420.836659
27/09/2020,10774.25,10799.0,10594.82,10728.59,30549.483253
28/09/2020,10696.12,10950.0,10626.0,10774.26,50095.251734
29/09/2020,10840.48,10867.54,10635.87,10696.11,41874.898399
30/09/2020,10776.59,10849.34,10665.13,10840.58,39596.027322
01/10/2020,10619.13,10920.0,10437.0,10776.59,60866.332893
02/10/2020,10570.4,10664.64,10374.0,10619.13,50130.393705
03/10/2020,10542.06,10603.56,10496.46,10570.4,22298.221341
04/10/2020,10666.63,10696.87,10517.87,10542.07,23212.001595
05/10/2020,10792.21,10798.0,10615.64,10666.62,34025.761653
06/10/2020,10599.66,10800.0,10525.0,10792.2,48674.740471
07/10/2020,10666.39,10681.87,10546.17,10599.65,32811.990279
08/10/2020,10925.57,10950.0,10530.41,10666.4,51959.691572
09/10/2020,11050.64,11104.64,10829.0,10925.44,48240.073237
10/10/2020,11293.22,11491.0,11050.51,11050.64,43648.036943
11/10/2020,11369.02,11445.0,11221.0,11293.22,29043.851339
12/10/2020,11528.25,11720.01,11172.0,11369.02,52825.28371
13/10/2020,11420.56,11557.0,11300.0,11528.24,42205.283709
14/10/2020,11417.89,11547.98,11280.0,11420.57,41415.106015
15/10/2020,11505.12,11617.34,11250.83,11417.89,48760.717679
16/10/2020,11319.32,11541.15,11200.0,11505.13,48797.749502
17/10/2020,11360.2,11402.42,11255.0,11319.24,22368.915241
18/10/2020,11503.14,11505.0,11346.22,11360.31,23284.041191
19/10/2020,11751.47,11823.99,11407.96,11503.14,47414.534692
20/10/2020,11909.99,12038.38,11677.59,11751.46,62134.750663
21/10/2020,12780.96,13217.68,11886.95,11910.0,114584.456767
22/10/2020,12968.52,13185.0,12678.08,12780.75,70038.824144
23/10/2020,12923.07,13027.69,12720.08,12968.84,50386.999841
24/10/2020,13111.73,13166.73,12870.0,12923.06,35952.20907
25/10/2020,13028.83,13350.0,12888.0,13111.73,38481.579504
26/10/2020,13052.19,13238.81,12765.0,13029.64,60951.672986
27/10/2020,13636.17,13789.29,13019.87,13052.15,80811.01945
28/10/2020,13266.4,13859.48,12888.0,13636.16,94440.561226
29/10/2020,13455.7,13642.91,12920.77,13266.4,74872.602132
30/10/2020,13560.1,13669.98,13115.0,13455.69,70657.778881
31/10/2020,13791.0,14100.0,13411.5,13560.1,67339.238515
01/11/2020,13761.5,13895.0,13603.0,13791.0,36285.648526
02/11/2020,13549.37,13830.0,13195.05,13761.49,64566.421908
03/11/2020,14023.53,14066.11,13284.99,13549.63,74115.630787
04/11/2020,14144.01,14259.0,13525.0,14023.53,93016.988262
05/11/2020,15590.02,15750.0,14093.56,14144.01,143741.522673
06/11/2020,15579.92,15960.0,15166.0,15590.02,122618.197695
07/11/2020,14818.3,15753.52,14344.22,15579.93,101431.206553
08/11/2020,15475.1,15650.0,14703.88,14818.3,65547.178574
09/11/2020,15328.41,15840.0,14805.54,15475.1,108976.334134
10/11/2020,15297.21,15460.0,15072.46,15328.41,61681.919606
11/11/2020,15684.24,15965.0,15272.68,15297.21,78469.746458
12/11/2020,16291.86,16340.7,15440.64,15684.25,102196.356592
13/11/2020,16320.7,16480.0,15952.35,16291.85,75691.881014
14/11/2020,16070.45,16326.99,15670.0,16320.04,59116.347179
15/11/2020,15957.0,16180.0,15774.72,16069.56,43596.841513
16/11/2020,16713.57,16880.0,15864.0,15957.0,81300.675924
17/11/2020,17659.38,17858.82,16538.0,16713.08,115221.403102
18/11/2020,17776.12,18476.93,17214.45,17659.38,149019.788134
19/11/2020,17802.82,18179.8,17335.65,17777.75,93009.561008
20/11/2020,18655.67,18815.22,17740.04,17802.81,88423.018489
21/11/2020,18703.8,18965.9,18308.58,18655.66,75577.458394
22/11/2020,18414.43,18750.0,17610.86,18703.8,81645.737778
23/11/2020,18368.0,18766.0,18000.0,18413.88,82961.506093
24/11/2020,19160.01,19418.97,18018.0,18368.01,113581.509241
25/11/2020,18719.11,19484.21,18500.27,19160.0,93266.576887
26/11/2020,17149.47,18915.03,16188.0,18718.83,181005.246693
27/11/2020,17139.52,17457.62,16438.08,17149.47,85297.024787
28/11/2020,17719.85,17880.49,16865.56,17139.53,64910.69997
29/11/2020,18184.99,18360.05,17517.0,17719.84,55329.016303
30/11/2020,19695.87,19863.16,18184.99,18185.0,115463.466888
01/12/2020,18764.96,19888.0,18001.12,19695.87,127698.762652
02/12/2020,19204.09,19342.0,18330.0,18764.96,75911.013478
03/12/2020,19421.9,19598.0,18867.2,19204.08,66689.391279
04/12/2020,18650.52,19527.0,18565.31,19422.34,71283.6682
05/12/2020,19147.66,19177.0,18500.0,18650.51,42922.748573
06/12/2020,19359.4,19420.0,18857.0,19147.66,37043.091861
07/12/2020,19166.9,19420.91,18902.88,19358.67,41372.296293
08/12/2020,18324.11,19294.84,18200.0,19166.9,61626.947614
09/12/2020,18541.28,18639.57,17650.0,18324.11,79585.553801
10/12/2020,18254.63,18557.32,17911.12,18541.29,52890.675094
11/12/2020,18036.53,18292.73,17572.33,18254.81,72610.724259
12/12/2020,18808.69,18948.66,18020.7,18036.53,49519.978432
13/12/2020,19174.99,19411.0,18711.12,18808.69,56560.821744
14/12/2020,19273.14,19349.0,19000.0,19174.99,47257.201294
15/12/2020,19426.43,19570.0,19050.0,19273.69,61834.366011
16/12/2020,21335.52,21560.0,19278.6,19426.43,114306.33557
17/12/2020,22797.16,23800.0,21230.0,21335.52,184882.476748
18/12/2020,23107.39,23285.18,22350.0,22797.15,79646.134315
19/12/2020,23821.61,24171.47,22750.0,23107.39,86045.064677
20/12/2020,23455.52,24295.0,23060.0,23821.6,76690.145685
21/12/2020,22719.71,24102.77,21815.0,23455.54,88030.297243
22/12/2020,23810.79,23837.1,22353.4,22719.88,87033.12616
23/12/2020,23232.76,24100.0,22600.0,23810.79,119047.259733
24/12/2020,23729.2,23794.43,22703.42,23232.39,69013.834252
